batch,bam_path,alias,phenotype
insilico_COLO829_20pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829_20pc/insilico_COLO829_20pc-ready,insilico_COLO829_20pc,tumor
insilico_COLO829_20pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829BL/insilico_COLO829BL-ready,insilico_COLO829BL,normal
insilico_COLO829_40pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829_40pc/insilico_COLO829_40pc-ready,insilico_COLO829_40pc,tumor
insilico_COLO829_40pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829BL/insilico_COLO829BL-ready,insilico_COLO829BL,normal
insilico_COLO829_60pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829_60pc/insilico_COLO829_60pc-ready,insilico_COLO829_60pc,tumor
insilico_COLO829_60pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829BL/insilico_COLO829BL-ready,insilico_COLO829BL,normal
insilico_COLO829_80pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829_80pc/insilico_COLO829_80pc-ready,insilico_COLO829_80pc,tumor
insilico_COLO829_80pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829BL/insilico_COLO829BL-ready,insilico_COLO829BL,normal
insilico_COLO829_100pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829_100pc/insilico_COLO829_100pc-ready,insilico_COLO829_100pc,tumor
insilico_COLO829_100pc,/g/data/gx8/projects/Hsu_WGS_Validation/colo829-merged/final/insilico_COLO829BL/insilico_COLO829BL-ready,insilico_COLO829BL,normal
